"","ans.time","attend","expertise","time","day","venue","topic","hack"
"1","22/02/2015 13:09:25","Likely every meeting","Intermediate","5pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, parallel R code, developing R package, data.table, working with big data, ggvis, RStudio, Reproducible research in R, Getting a package onto CRAN, bioconductor, Teaching R, interactive R plots","Yes"
"2","22/02/2015 14:55:38","Most meetings","Intermediate","3pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, parallel R code, working with big data, ggvis, Reproducible research in R, Rpushbullet notifications, interactive R plots","Maybe"
"3","22/02/2015 15:15:34","If there's an interesting speaker or topic","Intermediate","6pm","Tuesdays","Pub function rooms in the city","dplyr, parallel R code, developing R package, data.table, working with big data, Reproducible research in R, Getting a package onto CRAN, bioconductor, interactive R plots, Rocker, Rcpp","Maybe"
"4","22/02/2015 15:21:29","Most meetings","Intermediate","6pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, developing R package, data.table, RStudio, Reproducible research in R, bioconductor","Maybe"
"5","22/02/2015 15:38:11","If there's an interesting speaker or topic","Beginner","6pm","","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, data.table, working with big data, RStudio, Reproducible research in R, bioconductor, interactive R plots","Yes"
"6","22/02/2015 15:46:18","Most meetings","Beginner","5pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, Intro to R","No"
"7","22/02/2015 16:10:56","Likely every meeting","Intermediate","5pm","Thursdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","Reproducible research in R, interactive R plots, Best coding practices / Coding conventions / Unit testing","Yes"
"8","22/02/2015 16:11:08","Most meetings","Intermediate","6pm","Saturdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, developing R package, working with big data, ggvis, RStudio, Using R on Eddy, Reproducible research in R, Textmate, interactive R plots","Yes"
"9","22/02/2015 16:32:16","Most meetings","Intermediate","7pm","Mondays","Pub function rooms in the city","ggplot2, dplyr, parallel R code, developing R package, data.table, working with big data, ggvis, RStudio, Getting a package onto CRAN, Intro to R","Yes"
"10","22/02/2015 18:33:13","Most meetings","Intermediate","4pm","Fridays","Roving venues around the city (academic institutes, University buildings and companies)","dplyr, parallel R code, Reproducible research in R, Teaching R, interactive R plots","Yes"
"11","22/02/2015 19:23:15","Likely every meeting","Intermediate","5pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","","Maybe"
"12","22/02/2015 19:24:50","If there's an interesting speaker or topic","Intermediate","5pm","Tuesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","dplyr, parallel R code, developing R package, working with big data","No"
"13","22/02/2015 20:37:46","Most meetings","Intermediate","4pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","dplyr, parallel R code, working with big data, ggvis, RStudio, Reproducible research in R, interactive R plots","Yes"
"14","23/02/2015 09:05:21","Most meetings","Intermediate","5pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, data.table, ggvis, RStudio, interactive R plots","Yes"
"15","23/02/2015 10:25:01","Most meetings","Intermediate","5pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, parallel R code, working with big data, ggvis, RStudio, Using R on Eddy, Reproducible research in R, bioconductor, Rpushbullet notifications, interactive R plots, Acinonyx","Maybe"
"16","23/02/2015 12:35:25","Likely every meeting","Intermediate","6pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","dplyr, parallel R code, developing R package, data.table, working with big data, Using R on Eddy, Reproducible research in R, bioconductor","Yes"
"17","23/02/2015 12:55:22","If there's an interesting speaker or topic","Intermediate","2pm","Mondays","Roving venues around the city (academic institutes, University buildings and companies)","ggplot2, dplyr, parallel R code, developing R package, working with big data, Using R on Eddy, Getting a package onto CRAN, Textmate, interactive R plots","Maybe"
"18","23/02/2015 12:57:11","If there's an interesting speaker or topic","Intermediate","5pm","Mondays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, data.table, working with big data, RStudio, interactive R plots","No"
"19","23/02/2015 12:57:18","If there's an interesting speaker or topic","Intermediate","2pm","Thursdays","King's building","RStudio","No"
"20","23/02/2015 12:58:16","Likely every meeting","Intermediate","4pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, developing R package, working with big data, Teaching R","Yes"
"21","23/02/2015 12:58:37","Most meetings","Expert","12pm","Tuesdays","King's Buildings","ggplot2, parallel R code, developing R package, Using R on Eddy, Reproducible research in R, Getting a package onto CRAN, Teaching R","Yes"
"22","23/02/2015 13:03:52","If there's an interesting speaker or topic","Intermediate","12pm","Thursdays","Roving venues around the city (academic institutes, University buildings and companies)","ggplot2, developing R package, working with big data, Reproducible research in R, interactive R plots, nlme","Maybe"
"23","23/02/2015 13:09:21","Most meetings","Intermediate","5pm","Mondays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","dplyr, parallel R code, working with big data, ggvis, Using R on Eddy, Reproducible research in R, bioconductor, Teaching R","Maybe"
"24","23/02/2015 13:13:22","Most meetings","Intermediate","6pm","Thursdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, dplyr, parallel R code, developing R package, data.table, working with big data, ggvis, RStudio, Reproducible research in R, bioconductor, interactive R plots","Yes"
"25","23/02/2015 13:18:35","If there's an interesting speaker or topic","Intermediate","7pm","Thursdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","ggplot2, parallel R code, developing R package, working with big data, Reproducible research in R, Getting a package onto CRAN","Yes"
"26","23/02/2015 13:18:39","If there's an interesting speaker or topic","Beginner","4pm","Wednesdays","7 George Square (where the first meeting was held) and nearby (e.g. informatics)","",""
"27","23/02/2015 13:18:55","If there's an interesting speaker or topic","Intermediate","4pm","Mondays","","ggplot2, data.table, working with big data, RStudio, Reproducible research in R, Teaching R, interactive R plots, Intro to R","Maybe"
"28","23/02/2015 13:20:43","If there's an interesting speaker or topic","Beginner","12pm","Wednesdays","Roving venues around the city (academic institutes, University buildings and companies)","parallel R code, developing R package, working with big data, RStudio, bioconductor","No"
"29","23/02/2015 13:21:06","Most meetings","No R knowledge","6pm","","Pub function rooms in the city","Teaching R","Maybe"
